gse_id,old_gse_id,gse_type,model,manufacturer,location,lift_inspection_expires,latest_service_chassi,latest_service_unit,chassi_nr_vehicle,chassi_nr_unit,manufacturing_year_chassi,manufacturing_year_unit,hour_meter_chassi,hour_meter_unit,km_chassi,local_vehicle_permit,vehicle_permit_nr,vehicle_permit_valid_until,in_use,net_weight_kg,total_weight_kg,status,type_of_fuel,emission_standard,reg_nr_if_applicable,heating,deice_type,hot_type4,glycol,capacity,ac_type,single_double_max_ppm,power,cabin,gen2,length_m,height_min_max_mm,self_propelled,owned_by_company,owned_by_company2,type_of_lease,term_of_termination,purchase_date,agreement_expire_date,risk_assessment,training_documentation_available,item_type,path
TOW 00023,31,Towbar (TOW),,Hydro,AAP,,,,970766 5,,,2000,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,A319 A321,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TOW 00024,33,Towbar (TOW),,JMS,AAP,,,,J1021415,,,2015,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,A380,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TOW 00025,34,Towbar (TOW),,JMS,AAP,,,,J1027217,,,2017,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,DAS8-400,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TOW 00026,35,Towbar (TOW),,JMS,AAP,,,,J1027117,,,2017,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,ERJ135 145,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TOW 00027,36,Towbar (TOW),,Tronair,AAP,,,,169848 9,,,1999,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,ERJ135 145,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TOW 00028,37,Towbar (TOW),,Strüwing,AAP,,,,0818 1,,,2018,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,CRJ 1 2 7 9,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TOW 00029,38,Towbar (TOW),,Strüwing,AAP,,,,0818 2,,,2018,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,CRJ 1 2 7 9,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TOW 00030,39,Towbar (TOW),,JMS,AAP,,,,J1008719,,,2019,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,A330-A340,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TOW 00031,40,Towbar (TOW),,NA,AAP,,,,NA,,,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,B767,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
OTH 00003,1T,Other equipment (OTH),Tail Stand,Wasp,AAP,,,,13574 3,,,1999,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
OTH 00004,2T,Other equipment (OTH),Tail Stand,Wasp,AAP,,,,19526 9,,,2008,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
OTH 00005,2,Other equipment (OTH),Stringo,,AAP,,,,,,,2014,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
OTH 00006,1,Other equipment (OTH),Stringo,,AAP,,,,,,,2014,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
OTH 00007,D02,Other equipment (OTH),Water Drain Barrel,,AAP,,,,,,,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
OTH 00008,D03,Other equipment (OTH),Water Drain Barrel,,AAP,,,,,,,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
MPS 00001,P01,Manual passenger stair (MPS),Passenger Steps,WSM,AAP,,,,WMS14415/00101,,2009,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,2300-5800,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
MPS 00002,P02,Manual passenger stair (MPS),Passenger Steps,ADE,AAP,,,,8610967-22,,1987,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,2438-5278,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
MPS 00003,P03,Manual passenger stair (MPS),Passenger Steps,ADE,AAP,,,,861097-1,,1989,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,2438-5278,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
MPS 00004,P05,Manual passenger stair (MPS),Passenger Steps,ADE,AAP,,,,9754-3,,1981,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
MPS 00005,P09,Manual passenger stair (MPS),Passenger Steps,Stoti,AAP,,,,,,2009,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
MPS 00006,P18,Manual passenger stair (MPS),Passenger Steps,Jet Ramp LR,AAP,,,,OC100062,,2009,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
MPS 00007,P19,Manual passenger stair (MPS),Passenger Steps,Jet Ramp LR,AAP,,,,OC100061,,2009,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,1800-3750,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
MPS 00008,P20,Manual passenger stair (MPS),Passenger Steps,Jet Ramp LR,AAP,,,,OC070034-2,,2006,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
MPS 00009,P21,Manual passenger stair (MPS),Passenger Steps,Jet Ramp LR,AAP,,,,OC070034-4,,2006,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
MPS 00010,P23,Manual passenger stair (MPS),Passenger Steps,Jet Ramp MR,AAP,,,,10 030550,,1996,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,2500-4500,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
MPS 00011,P24,Manual passenger stair (MPS),Passenger Steps,SWL,AAP,,,,10 030514,,1996,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,2500-4500,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
SPS 00001,P25,Self propelled passenger stair (SPS),Smart steps,JBT,AAP,,,,809 9,,2009,,,"2,190",,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,2470-5700,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
MPS 00012,P26,Manual passenger stair (MPS),Passenger Steps,Jet Ramp LR,AAP,,,,OC100064-1,,2010,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,1800-3750,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
MPS 00013,P27,Manual passenger stair (MPS),Passenger Steps,Jet Ramp LR,AAP,,,,OC100064-2,,2010,,,,,,,,TRUE,,,3. Okay,,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,1800-3750,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
WSU 00001,M16,Water service unit (WSU),Ateco 818,Mercedes/Vestergaad,AAP,,3/11/2021,3/11/2021,WDB970013L536725,1548,2011,2011,,"8,785",109500,,,,TRUE,,,3. Okay,Diesel,EURO5,RF10155,,,TRUE,TRUE,Medium (Toilet/Water truck),,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
OTH 00009,M15,Other equipment (OTH),FL280 Fuel Truck,Volvo/Blicon,AAP,,,,YV2TBL0A89B547395,11537,2009,2009,,,94438,,,,TRUE,"6,025","12,000",4. Good condition,Diesel,EURO5,XN88142,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
OTH 00010,0,Other equipment (OTH),3505UX,Brenderup,AAP,,,,UH20SPU52XN474396,,1998,,,,,,,,TRUE,,"3,500",3. Okay,,,DY9663,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TSU 00001,M17,Toilet service unit (TSU),FL240,Volvo/Vestergaard,AAP,,11/10/2020,11/10/2020,YV2TBM0AAX7B481869,1395,2009,2009,,"23,567",204500,,,,TRUE,,"12,000",4. Good condition,Diesel,EURO5,RF22915,,,TRUE,TRUE,Medium (Toilet/Water truck),,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
EBT 00013,T39,Baggage tractor (EBT),Ateco,Mercedes/Volby,AAP,,3/23/2021,3/23/2021,WDB9702831L541585,,2011,2011,,,321000,,,,TRUE,,"11,990",3. Okay,Diesel,EURO5,RF23011,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
EBT 00014,T40,Baggage tractor (EBT),Ateco,Mercedes/Volby,AAP,,2/14/2021,1/14/2021,WDB9702831L541584,,2011,2011,,,335120,,,,TRUE,,"11,990",3. Okay,Diesel,EURO5,RF23010,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
OTH 00011,T59,Other equipment (OTH),Fork Lift,Linde E35 03,AAP,,,,G1X336W51428,,,2009,,"7,201",,,,,TRUE,,,3. Okay,Electric -> Emission N/A,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Partners A/S,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
GPU 00001,G04,Ground power unit (GPU),GPU90,Hitzinger,AAP,,,,14578 2,,,2017,,"2,789",,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,"115V, 90 kVA",TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
GPU 00002,G05,Ground power unit (GPU),GPU140,Hitzinger,AAP,,,,12402 8,,,2009,,"13,176",,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,"28 / 115V , kVA (60, 90)",TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
GPU 00003,G06,Ground power unit (GPU),GPU100,Hitzinger,AAP,,,,13231 3,,,2009,,"5,095",,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,"115V, 90 kVA",TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
PBT 00001,T60,Push back tractor (PBT),F356,Schopf,AAP,,,,84043LFF,,,1982,,"9,050",,,,,TRUE,"50,000","50,000",0. Scraped,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
PBT 00002,T61,Push back tractor (PBT),F246,Schopf,AAP,,,,F24691068,,,1991,,"24,754",,,,,TRUE,"20,000","20,000",3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
PBT 00003,T64,Push back tractor (PBT),F246,Schopf,AAP,,,,,,,1993,,"26,954",,,,,TRUE,"20,000","20,000",3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TBL 00001,T66,Towbar less tractor (TBL),TBL180,Kalmar,AAP,,1/25/2021,,TBL1802047,,,1996,,"20,189",,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TBL 00002,T67,Towbar less tractor (TBL),TBL180,Kalmar,AAP,,,,,,,1998,,"17,908",,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
PBT 00004,T68,Push back tractor (PBT),FB15000,Kalmar,AAP,,,,212 7,,,1999,,,,,,,TRUE,"15,000","15,000",3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
PBT 00005,T70,Push back tractor (PBT),B1200,FMC,AAP,,,,B12DZ99015,,,1999,,"14,762",,,,,TRUE,"55,000","55,000",3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TBL 00003,T71,Towbar less tractor (TBL),TBL180,Kalmar,AAP,,,,208 7,,,1998,,"18,037",,,,,TRUE,,,0. Scraped,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
PBT 00006,T72,Push back tractor (PBT),F110,Schopf,AAP,,3/12/2021,,200706 1,,,2005,,"14,713",,,,,TRUE,"15,000","15,000",3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
PBT 00007,T73,Push back tractor (PBT),F110,Schopf,AAP,,,,200610 2,,,2006,,"13,890",,,,,TRUE,"15,000","15,000",3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
TBL 00004,T74,Towbar less tractor (TBL),TBL180,Kalmar,AAP,,,,2019,,,1994,,"22,452",,,,,TRUE,,,0. Scraped,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLS 00001,B01,Belt loader snake (BLS),"Orbiter 7,5 E",Mulag/Power stow,AAP,,9/28/2020,9/28/2020,09F026830,89,2009,2009,"18,270","19,571",,,,,TRUE,,,2. Usable,Electric -> Emission N/A,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLS 00002,B02,Belt loader snake (BLS),"Orbiter 7,5 E",Mulag/Power stow,AAP,,12/30/2020,12/30/2020,09F026831,90,2009,2009,"17,808","19,026",,,,,TRUE,,,3. Okay,Electric -> Emission N/A,,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLT 00007,B08,Belt loader (BLT),"MDF7,5",Mulag,AAP,,2/26/2020,2/26/2020,93416 6,,1993,,"27,975",,,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLT 00002,B09,Belt loader (BLT),"Orbiter7,5",Mulag,AAP,,9/18/2020,,07F023320,,2007,,"10,532",,,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLS 00003,B10,Belt loader snake (BLS),"Orbiter 7,5 D",Mulag/Power stow,AAP,,7/19/2020,7/19/2020,14F035484,290,2014,2014,"12,830","12,875",,,,,TRUE,,,4. Good condition,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLS 00004,B11,Belt loader snake (BLS),"Orbiter 7,5 D",Mulag/Power stow,AAP,,7/22/2020,7/22/2020,14F035485,291,2014,2014,"12,446","12,842",,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Partners A/S,,No lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLT 00003,B12,Belt loader (BLT),"MDF7,5",Mulag,AAP,,,,02F016241,,2002,,,,,,,,TRUE,,,0. Scraped,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLT 00004,B14,Belt loader (BLT),"MDF7,5",Mulag,AAP,,3/17/2021,,02F016242,,2002,,,,,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLS 00005,B15,Belt loader snake (BLS),"MDF7,5",Mulag/Power stow,AAP,,1/16/2021,1/16/2021,94430 4,1,1994,2005,"43,237","31,852",,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLT 00005,B17,Belt loader (BLT),"MDF7,5",Mulag,AAP,,2/19/2021,,94430 3,,1994,,"26,740",,,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLS 00006,B18,Belt loader snake (BLS),"MDF7,5",Mulag/Power stow,AAP,,3/16/2021,3/16/2021,,2,1994,2005,"38,926","34,934",,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLT 00006,B19,Belt loader (BLT),"MDF7,5",Mulag,AAP,,,,97F010429,,1997,,"18,931",,,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLT 00001,B20,Belt loader (BLT),"MDF7,5",Mulag,AAP,,,,97F010430,,1997,,"18,690",,,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLT 00008,B21,Belt loader (BLT),"MDF7,5",Mulag,AAP,,10/9/2020,,98F011320,,1998,,"18,192",,,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
BLT 00009,B22,Belt loader (BLT),"MDF7,5",Mulag,AAP,,1/18/2021,,98F011321,,1998,,"14,166",,,,,,TRUE,,,2. Usable,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,7m,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
PAT 00001,PT1,Pallet transporter (TRP),MC7A,Mulag,AAP,,,,90386 1,,1990,,"16,839",,,,,,TRUE,,,2. Usable,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
PAT 00002,PT2,Pallet transporter (TRP),TT7C,Mulag,AAP,,,,96460 4,,1996,,"13,542",,,,,,FALSE,,,0. Scraped,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
PAT 00003,PT3,Pallet transporter (TRP),MC7A,Mulag,AAP,,,,90386 1,,1990,,"16,334",,,,,,TRUE,,,2. Usable,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
PAT 00004,PT6,Pallet transporter (TRP),Zipo B03-07HVF,EWK,AAP,,,,0 200,,1992,,"11,480",,,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
HIL 00001,L01,High loader (HIL),Commander 30,FMC,AAP,,,,CR301007018,,2007,,"7,401",,,,,,TRUE,,,4. Good condition,Diesel,EURO3,,,,TRUE,TRUE,15 t (Lift capacity),,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
HIL 00002,L02,High loader (HIL),Commander15,FMC,AAP,,,,CR87508,,1987,,"9,733",,,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,7 t (Lift capacity),,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
HIL 00003,L04,High loader (HIL),Commander15,FMC,AAP,,1/22/2020,,CR90241,,1990,,"11,280",,,,,,TRUE,,,2. Usable,Diesel,EURO3,,,,TRUE,TRUE,7 t (Lift capacity),,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
HIL 00004,L05,High loader (HIL),Commander15,FMC,AAP,,,,CR90187,,1990,,"11,420",,,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,7 t (Lift capacity),,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
HIL 00005,L06,High loader (HIL),Commander15,FMC,AAP,,,,CR90237,,1990,,"14,102",,,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,7 t (Lift capacity),,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
HIL 00006,L07,High loader (HIL),Commander15,FMC,AAP,,1/8/2020,,CR91119,,1991,,"13,176",,,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,7 t (Lift capacity),,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
CLT 00001,L08,Container loader transporter (CLT),CLT-8 Loader,FMC,AAP,,1/12/2020,,9809 5,,1998,,"9,175",,,,,,TRUE,,,3. Okay,Diesel,EURO3,,,,TRUE,TRUE,"3,5 t (Lift capacity)",,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
CLT 00002,L09,Container loader transporter (CLT),CLT-8 Loader,JBT,AAP,,,,0810 7,,2008,,"9,942",,,,,,TRUE,,,2. Usable,Diesel,EURO3,,,,TRUE,TRUE,"3,5 t (Lift capacity)",,,,TRUE,TRUE,,,TRUE,Aviator Airport Alliance AB,,Operational lease,,,,TRUE,TRUE,Element,GSE/Lists/AviatorGSERegister
